CustomerID,Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFMScore
12346.0,325,1,77183.6,4,4,1,441
12747.0,2,10,658.89,1,1,1,111
12748.0,0,196,3739.2299999999996,1,1,1,111
12749.0,3,5,98.35,1,2,2,122
12820.0,3,4,58.2,1,2,2,122
12821.0,214,1,19.92,4,4,3,443
12822.0,70,2,30.799999999999997,3,3,3,333
12823.0,74,5,1759.5,3,2,1,321
12824.0,59,1,5.04,3,4,4,344
12826.0,2,7,122.8,1,1,1,111
12827.0,5,3,84.21000000000001,1,2,2,122
12828.0,2,6,154.8,1,1,1,111
12829.0,336,2,95.80000000000001,4,3,2,432
12830.0,37,6,1789.92,2,1,1,211
12831.0,262,1,34.199999999999996,4,4,3,443
12832.0,32,2,19.9,2,3,3,233
12833.0,145,1,15.0,4,4,4,444
12834.0,282,1,15.9,4,4,4,444
12836.0,59,4,29.05,3,2,3,323
12837.0,173,1,17.0,4,4,4,444
12838.0,33,1,5.9,2,4,4,244
12839.0,2,13,216.21,1,1,1,111
12840.0,143,4,138.6,4,2,1,421
12841.0,4,23,316.69,1,1,1,111
12842.0,70,2,22.8,3,3,3,333
12843.0,65,8,123.19999999999999,3,1,1,311
12844.0,29,2,8.7,2,3,4,234
12845.0,267,4,284.79999999999995,4,2,1,421
12847.0,22,1,1.17,2,4,4,244
12849.0,31,2,44.699999999999996,2,3,3,233
12851.0,96,1,4.16,3,4,4,344
12852.0,294,1,17.4,4,4,4,444
12853.0,134,6,202.2,3,1,1,311
12854.0,78,3,158.29999999999998,3,2,1,321
12856.0,7,6,44.58,1,1,3,113
12857.0,210,2,53.400000000000006,4,3,2,432
12863.0,52,1,340.0,3,4,1,341
12864.0,138,1,17.4,4,4,4,444
12867.0,26,7,53.74,2,1,2,212
12868.0,185,5,94.25,4,2,2,422
12871.0,84,2,178.2,3,3,1,331
12872.0,326,2,50.0,4,3,2,432
12873.0,282,1,68.0,4,4,2,442
12875.0,143,2,343.2300000000001,4,3,1,431
12877.0,3,12,365.78999999999996,1,1,1,111
12878.0,236,2,45.0,4,3,3,433
12879.0,44,3,192.72,2,2,1,221
12881.0,275,1,195.0,4,4,1,441
12882.0,9,2,283.2,1,3,1,131
12883.0,24,4,71.85,2,2,2,222
12884.0,88,1,170.0,3,4,1,341
12885.0,63,3,43.4,3,2,3,323
12886.0,67,2,33.5,3,3,3,333
12888.0,214,2,106.56,4,3,2,432
12890.0,24,1,10.5,2,4,4,244
12891.0,185,3,331.0,4,2,1,421
12893.0,30,1,3.75,2,4,4,244
12895.0,42,2,34.8,2,3,3,233
12897.0,204,2,116.0,4,3,2,432
12901.0,8,28,9230.449999999999,1,1,1,111
12902.0,264,1,17.700000000000003,4,4,3,443
12904.0,18,2,11.899999999999999,2,3,4,234
12906.0,11,5,206.76,1,2,1,121
12908.0,176,2,750.0,4,3,1,431
12909.0,39,5,125.88,2,2,1,221
12910.0,23,8,362.76000000000005,2,1,1,211
12912.0,2,5,365.34000000000003,1,2,1,121
12913.0,4,4,206.76000000000005,1,2,1,121
12915.0,148,1,23.4,4,4,3,443
12916.0,138,4,186.79999999999998,4,2,1,421
12917.0,128,1,297.0,3,4,1,341
12919.0,8,6,267.40000000000003,1,1,1,111
12920.0,17,1,7.95,1,4,4,144
12921.0,9,35,989.6100000000002,1,1,1,111
